CELH,>71.03+,<56.25
MARA,>19.23+,<17.00
DDOG,>155.11+,<135.00
AVGO,>360.35+,<305.00
PLTR,<165.00,>185.00+
TSLA,<410.00,>444.00+
SOUN,>18.10,>21.03+
STVN,>26.70+
DLR,<166.00,>182.34+
NVMI,<310.00
CMA,<67.00,>73.73+
DAL,<56.28,>59.74+
PDD,<131.00,>143.50+
CIFR,>15.39+,<10.25
HOOD,>193.34+,<115.00
TIGR,<10.13, >11.01+
F,<12.05,>12.86
RIOT,<17.00,>23.58+
SHOP,<140.75,>176.49+
ARKK,<85.00,>96.90
COIN,<330.00,>429.00
GLXY,>47.93+,<33.00
OPEN,<7.97,>15.48+
AAPL,>259.44+,<250.00
GOOGL,>262.00+,<210.00
ARKK,<85.00,>97.72+
TLRY,>1.74+
META,<710.00,>739.18+
CLSK,>17.57+,<13.00
BTBT,<3.15,>3.60+
SOXL,<30.00
RBLX,>141.60+
INTC,<34.85,>40.40+
CONL,<40.00,>48.29+
RR,>5.56+,<5.70